encoding_id	authority_id	semantic_id	canonical_mnemonic	exact_code_family	mask	value	features	surfaces	support_packs	variable_fields	constraint_program	operand_decode_program	canonical_render_style	fixup_program	semantic_operands	fixed_roles	overlap_restrictions	authority_predicate_digest
a64:encoding:and-64-log-imm:714f66c012c6fd91	a64:instruction_form:and-64-log-imm:714f66c012c6fd91	a64:semantic:instruction_form:and-64-log-imm:714f66c012c6fd91	and	logical	0xff800000	0x92000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imms@10:6:0x3f:0x0|immr@16:6:0x3f:0x0|N@22:1:0x1:0x0	none	gpr:rd:64:0+5:sp:none|gpr:rn:64:5+5:zr:none|logical_imm:imm:64:22+1:16+6:10+6	plain	none	rd:gpr64|rn:gpr64|imm:encoded_immediate	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:and-64-log-shift:d48e002764135b7e	a64:instruction_form:and-64-log-shift:d48e002764135b7e	a64:semantic:instruction_form:and-64-log-shift:d48e002764135b7e	and	logical	0xff200000	0x8a000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm6@10:6:0x3f:0x0|Rm@16:5:0x1f:0x0|shift@22:2:0x3:0x0	none	gpr:rd:64:0+5:zr:none|gpr:rn:64:5+5:zr:none|gpr:rm:64:16+5:zr:none|enum:shift:22+2:0=lsl,1=lsr,2=asr,3=ror|uimm:amount:10+6:1	shift_pair	none	rd:gpr64|rn:gpr64|rm:gpr64|shift:u2|amount:u6	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:and-asimdsame-only:f69ea14abdd510f7	a64:instruction_form:and-asimdsame-only:f69ea14abdd510f7	a64:semantic:instruction_form:and-asimdsame-only:f69ea14abdd510f7	and	other	0xbfe0fc00	0x0e201c00	FEAT_AdvSIMD	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rm@16:5:0x1f:0x0|Q@30:1:0x1:0x0	none	simd:vd:0+5:30+1:0=8b,1=16b|simd:vn:5+5:30+1:0=8b,1=16b|simd:vm:16+5:30+1:0=8b,1=16b	plain	none	vd:simd|vn:simd|vm:simd	none	none	sha256:bf98b8bcb1ce7073600e82489c120a3ffd1f3310f5e22a2705d8331c1d255755
a64:encoding:ands-32s-log-imm:686f816454456d93	a64:instruction_form:ands-32s-log-imm:686f816454456d93	a64:semantic:instruction_form:ands-32s-log-imm:686f816454456d93	ands	logical	0xffc00000	0x72000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imms@10:6:0x3f:0x0|immr@16:6:0x3f:0x0	none	gpr:rd:32:0+5:zr:none|gpr:rn:32:5+5:zr:none|logical_imm:imm:32:22+1:16+6:10+6	plain	none	rd:gpr32|rn:gpr32|imm:encoded_immediate	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:ands-64s-log-imm:ceeadfc332703a65	a64:instruction_form:ands-64s-log-imm:ceeadfc332703a65	a64:semantic:instruction_form:ands-64s-log-imm:ceeadfc332703a65	ands	logical	0xff800000	0xf2000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imms@10:6:0x3f:0x0|immr@16:6:0x3f:0x0|N@22:1:0x1:0x0	none	gpr:rd:64:0+5:zr:none|gpr:rn:64:5+5:zr:none|logical_imm:imm:64:22+1:16+6:10+6	plain	none	rd:gpr64|rn:gpr64|imm:encoded_immediate	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:asrv-32-dp-2src:7e75e18a8659f404	a64:instruction_form:asrv-32-dp-2src:7e75e18a8659f404	a64:semantic:instruction_form:asrv-32-dp-2src:7e75e18a8659f404	asrv	other	0xffe0fc00	0x1ac02800	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rm@16:5:0x1f:0x0	none	gpr:rd:32:0+5:zr:none|gpr:rn:32:5+5:zr:none|gpr:rm:32:16+5:zr:none	plain	none	rd:gpr32|rn:gpr32|rm:gpr32	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:asrv-64-dp-2src:9c19c82a2d4cd3aa	a64:instruction_form:asrv-64-dp-2src:9c19c82a2d4cd3aa	a64:semantic:instruction_form:asrv-64-dp-2src:9c19c82a2d4cd3aa	asrv	other	0xffe0fc00	0x9ac02800	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rm@16:5:0x1f:0x0	none	gpr:rd:64:0+5:zr:none|gpr:rn:64:5+5:zr:none|gpr:rm:64:16+5:zr:none	plain	none	rd:gpr64|rn:gpr64|rm:gpr64	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:b-only-branch-imm:474f71088223424a	a64:instruction_form:b-only-branch-imm:474f71088223424a	a64:semantic:instruction_form:b-only-branch-imm:474f71088223424a	b	branch	0xfc000000	0x14000000	base	ordinary_lowering|checked_asm|architecture_operation	wyst.a64.architecture-operations|wyst.a64.checked-asm.core|wyst.a64.ordinary-lowering	imm26@0:26:0x3ffffff:0x0	none	fixup:target:branch26	plain	branch26:26:4:instruction:imm26@0+26=0:local,external:no_relaxation	target:branch26	encoding=branch26	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:b-only-condbranch:1e7c4579c302a084	a64:instruction_form:b-only-condbranch:1e7c4579c302a084	a64:semantic:instruction_form:b-only-condbranch:1e7c4579c302a084	b	branch	0xff000010	0x54000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	cond@0:4:0xf:0x0|imm19@5:19:0x7ffff:0x0	none	fixup:target:conditional_branch19|enum:condition:0+4:0=eq,1=ne,2=cs,3=cc,4=mi,5=pl,6=vs,7=vc,8=hi,9=ls,10=ge,11=lt,12=gt,13=le,14=al,15=nv	condition_suffix	conditional_branch19:19:4:instruction:imm19@5+19=0:local,external:no_relaxation	target:conditional_branch19|condition:nzcv	encoding=conditional_branch19	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:bfm-32m-bitfield:dcbed29556885d62	a64:instruction_form:bfm-32m-bitfield:dcbed29556885d62	a64:semantic:instruction_form:bfm-32m-bitfield:dcbed29556885d62	bfm	other	0xffc00000	0x33000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imms@10:6:0x3f:0x0|immr@16:6:0x3f:0x0	none	gpr:rd:32:0+5:zr:none|gpr:rn:32:5+5:zr:none|uimm:immr:16+6:1|uimm:imms:10+6:1	plain	none	rd:gpr32|rn:gpr32|immr:u6|imms:u6	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:bfm-64m-bitfield:22ee83234c32a1b8	a64:instruction_form:bfm-64m-bitfield:22ee83234c32a1b8	a64:semantic:instruction_form:bfm-64m-bitfield:22ee83234c32a1b8	bfm	other	0xffc00000	0xb3400000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imms@10:6:0x3f:0x0|immr@16:6:0x3f:0x0	none	gpr:rd:64:0+5:zr:none|gpr:rn:64:5+5:zr:none|uimm:immr:16+6:1|uimm:imms:10+6:1	plain	none	rd:gpr64|rn:gpr64|immr:u6|imms:u6	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:bic-32-log-shift:be4c4a11b3c721c3	a64:instruction_form:bic-32-log-shift:be4c4a11b3c721c3	a64:semantic:instruction_form:bic-32-log-shift:be4c4a11b3c721c3	bic	logical	0xff200000	0x0a200000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm6@10:6:0x3f:0x0|Rm@16:5:0x1f:0x0|shift@22:2:0x3:0x0	none	gpr:rd:32:0+5:zr:none|gpr:rn:32:5+5:zr:none|gpr:rm:32:16+5:zr:none|enum:shift:22+2:0=lsl,1=lsr,2=asr,3=ror|uimm:amount:10+6:1	shift_pair	none	rd:gpr32|rn:gpr32|rm:gpr32|shift:u2|amount:u6	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:bic-64-log-shift:d341131f30ef759d	a64:instruction_form:bic-64-log-shift:d341131f30ef759d	a64:semantic:instruction_form:bic-64-log-shift:d341131f30ef759d	bic	logical	0xff200000	0x8a200000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm6@10:6:0x3f:0x0|Rm@16:5:0x1f:0x0|shift@22:2:0x3:0x0	none	gpr:rd:64:0+5:zr:none|gpr:rn:64:5+5:zr:none|gpr:rm:64:16+5:zr:none|enum:shift:22+2:0=lsl,1=lsr,2=asr,3=ror|uimm:amount:10+6:1	shift_pair	none	rd:gpr64|rn:gpr64|rm:gpr64|shift:u2|amount:u6	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:bic-asimdsame-only:b382ea2c48be89ad	a64:instruction_form:bic-asimdsame-only:b382ea2c48be89ad	a64:semantic:instruction_form:bic-asimdsame-only:b382ea2c48be89ad	bic	other	0xbfe0fc00	0x0e601c00	FEAT_AdvSIMD	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rm@16:5:0x1f:0x0|Q@30:1:0x1:0x0	none	simd:vd:0+5:30+1:0=8b,1=16b|simd:vn:5+5:30+1:0=8b,1=16b|simd:vm:16+5:30+1:0=8b,1=16b	plain	none	vd:simd|vn:simd|vm:simd	none	none	sha256:bf98b8bcb1ce7073600e82489c120a3ffd1f3310f5e22a2705d8331c1d255755
a64:encoding:bl-only-branch-imm:ea6420b3e0abfdfa	a64:instruction_form:bl-only-branch-imm:ea6420b3e0abfdfa	a64:semantic:instruction_form:bl-only-branch-imm:ea6420b3e0abfdfa	bl	branch	0xfc000000	0x94000000	base	ordinary_lowering|checked_asm|architecture_operation	wyst.a64.architecture-operations|wyst.a64.checked-asm.core|wyst.a64.ordinary-lowering	imm26@0:26:0x3ffffff:0x0	none	fixup:target:call26	plain	call26:26:4:instruction:imm26@0+26=0:local,external:no_relaxation	target:call26	link=x30;encoding=call26	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:blr-64-branch-reg:770ead7e3fcdc8eb	a64:instruction_form:blr-64-branch-reg:770ead7e3fcdc8eb	a64:semantic:instruction_form:blr-64-branch-reg:770ead7e3fcdc8eb	blr	branch	0xfffffc1f	0xd63f0000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rn@5:5:0x1f:0x0	not31:Rn	gpr:rn:64:5+5:zr:none	plain	none	rn:gpr64	link=x30	rn!=sp|xzr	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:br-64-branch-reg:9aaf83c0a39db37f	a64:instruction_form:br-64-branch-reg:9aaf83c0a39db37f	a64:semantic:instruction_form:br-64-branch-reg:9aaf83c0a39db37f	br	branch	0xfffffc1f	0xd61f0000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rn@5:5:0x1f:0x0	not31:Rn	gpr:rn:64:5+5:zr:none	plain	none	rn:gpr64	none	rn!=sp|xzr	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:brk-ex-exception:7046fa1ce7c640b8	a64:instruction_form:brk-ex-exception:7046fa1ce7c640b8	a64:semantic:instruction_form:brk-ex-exception:7046fa1ce7c640b8	brk	other	0xffe0001f	0xd4200000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	imm16@5:16:0xffff:0x0	none	uimm:imm16:5+16:1	plain	none	imm16:u16	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:cas-c32-comswap:84a82f7a624a9350	a64:instruction_form:cas-c32-comswap:84a82f7a624a9350	a64:semantic:instruction_form:cas-c32-comswap:84a82f7a624a9350	cas	load-store	0xffe0fc00	0x88a07c00	FEAT_LSE	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rt@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rs@16:5:0x1f:0x0	none	gpr:rs_expected:32:16+5:zr:none|gpr:rt_desired:32:0+5:zr:none|address:rn:5+5:sp	memory_base	none	rs_expected:gpr32|rt_desired:gpr32|rn:address	rn=xn_or_sp;rn31=sp;rs_expected=wt_or_wzr;rs_expected31=constant_zero_then_discarded_write_to_wzr;rt_desired=wt_or_wzr;rt_desired31=constant_zero_from_wzr	none	sha256:78acc79118ff687b37748262e911b262e2ded1da7f09bbc93500099b7a564bba
a64:encoding:cas-c64-comswap:7e046efc42a49cac	a64:instruction_form:cas-c64-comswap:7e046efc42a49cac	a64:semantic:instruction_form:cas-c64-comswap:7e046efc42a49cac	cas	load-store	0xffe0fc00	0xc8a07c00	FEAT_LSE	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rt@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rs@16:5:0x1f:0x0	none	gpr:rs_expected:64:16+5:zr:none|gpr:rt_desired:64:0+5:zr:none|address:rn:5+5:sp	memory_base	none	rs_expected:gpr64|rt_desired:gpr64|rn:address	rn=xn_or_sp;rn31=sp;rs_expected=xt_or_xzr;rs_expected31=constant_zero_then_discarded_write_to_xzr;rt_desired=xt_or_xzr;rt_desired31=constant_zero_from_xzr	none	sha256:78acc79118ff687b37748262e911b262e2ded1da7f09bbc93500099b7a564bba
a64:encoding:casa-c32-comswap:a458ae5ea5b32f0f	a64:instruction_form:casa-c32-comswap:a458ae5ea5b32f0f	a64:semantic:instruction_form:casa-c32-comswap:a458ae5ea5b32f0f	casa	load-store	0xffe0fc00	0x88e07c00	FEAT_LSE	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rt@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rs@16:5:0x1f:0x0	none	gpr:rs_expected:32:16+5:zr:none|gpr:rt_desired:32:0+5:zr:none|address:rn:5+5:sp	memory_base	none	rs_expected:gpr32|rt_desired:gpr32|rn:address	rn=xn_or_sp;rn31=sp;rs_expected=wt_or_wzr;rs_expected31=constant_zero_then_discarded_write_to_wzr;rt_desired=wt_or_wzr;rt_desired31=constant_zero_from_wzr	none	sha256:78acc79118ff687b37748262e911b262e2ded1da7f09bbc93500099b7a564bba
a64:encoding:casa-c64-comswap:561b36bd9514f6ed	a64:instruction_form:casa-c64-comswap:561b36bd9514f6ed	a64:semantic:instruction_form:casa-c64-comswap:561b36bd9514f6ed	casa	load-store	0xffe0fc00	0xc8e07c00	FEAT_LSE	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rt@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rs@16:5:0x1f:0x0	none	gpr:rs_expected:64:16+5:zr:none|gpr:rt_desired:64:0+5:zr:none|address:rn:5+5:sp	memory_base	none	rs_expected:gpr64|rt_desired:gpr64|rn:address	rn=xn_or_sp;rn31=sp;rs_expected=xt_or_xzr;rs_expected31=constant_zero_then_discarded_write_to_xzr;rt_desired=xt_or_xzr;rt_desired31=constant_zero_from_xzr	none	sha256:78acc79118ff687b37748262e911b262e2ded1da7f09bbc93500099b7a564bba
a64:encoding:casab-c32-comswap:118256e8cc978ced	a64:instruction_form:casab-c32-comswap:118256e8cc978ced	a64:semantic:instruction_form:casab-c32-comswap:118256e8cc978ced	casab	load-store	0xffe0fc00	0x08e07c00	FEAT_LSE	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rt@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rs@16:5:0x1f:0x0	none	gpr:rs_expected:32:16+5:zr:none|gpr:rt_desired:32:0+5:zr:none|address:rn:5+5:sp	memory_base	none	rs_expected:gpr32|rt_desired:gpr32|rn:address	rn=xn_or_sp;rn31=sp;rs_expected=wt_or_wzr;rs_expected31=constant_zero_then_discarded_write_to_wzr;rt_desired=wt_or_wzr;rt_desired31=constant_zero_from_wzr	none	sha256:78acc79118ff687b37748262e911b262e2ded1da7f09bbc93500099b7a564bba
a64:encoding:casah-c32-comswap:6fc6f2a2263f3447	a64:instruction_form:casah-c32-comswap:6fc6f2a2263f3447	a64:semantic:instruction_form:casah-c32-comswap:6fc6f2a2263f3447	casah	load-store	0xffe0fc00	0x48e07c00	FEAT_LSE	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rt@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rs@16:5:0x1f:0x0	none	gpr:rs_expected:32:16+5:zr:none|gpr:rt_desired:32:0+5:zr:none|address:rn:5+5:sp	memory_base	none	rs_expected:gpr32|rt_desired:gpr32|rn:address	rn=xn_or_sp;rn31=sp;rs_expected=wt_or_wzr;rs_expected31=constant_zero_then_discarded_write_to_wzr;rt_desired=wt_or_wzr;rt_desired31=constant_zero_from_wzr	none	sha256:78acc79118ff687b37748262e911b262e2ded1da7f09bbc93500099b7a564bba
