// identity	declaration_kind	authority	initialization	extent_alignment	lifetime_ownership	generation	terminal_protocol	catalog_contract
core.storage	namespace	sealed-ordinary-wyst	closed-transition-surface	exact-caller-backing	explicit-affine-authority	explicit-generation	all-authorities-accounted	-
core.storage.arena_allocate_zero	ordinary-function	atomic-recorded-allocation	zeroed	checked-alignment-extent-capacity	borrows-arena-and-preserves-live-views	current	byte-region|typed-failure	wyst.storage.arena.allocate-zero
core.storage.arena_allocate_from	ordinary-function	atomic-recorded-allocation	copied	checked-alignment-extent-capacity	borrows-arena-and-preserves-live-views	current	byte-region|typed-failure	wyst.storage.arena.allocate-copy
core.storage.Arena.allocate_value	ordinary-generic-function	atomic-direct-allocation	typed-value	exact-size-and-alignment	returns-success-payload-view-from-arena-and-preserves-live-views	current	typed-view|typed-failure	wyst.storage.arena.allocate-typed-value
core.storage.arena_allocate_region_value	ordinary-generic-function	atomic-recorded-allocation	typed-value	exact-size-and-alignment	borrows-arena-and-preserves-live-views	current	typed-region|typed-failure	wyst.storage.arena.allocate-region-typed-value
core.storage.arena_view	ordinary-generic-function	validate-transition	initialized-only	exact-recorded-type-range	returns-success-payload-view-from-arena-and-preserves-live-views	validated	typed-view|typed-failure	wyst.storage.arena.view
core.storage.arena_view_bytes	ordinary-function	validate-transition	initialized-only	exact-recorded-range	returns-success-payload-view-from-arena-and-preserves-live-views	validated	byte-view|typed-failure	wyst.storage.arena-byte-region.view
core.storage.Arena.checkpoint	ordinary-function	checkpoint-transition	unchanged	exact-ledger-snapshot	borrows-arena-and-preserves-live-views	current	checkpoint|typed-failure	wyst.storage.arena.checkpoint
core.storage.arena_keep_checkpoint	ordinary-function	checkpoint-transition	unchanged	exact-ledger-snapshot	consumes-or-recovers-checkpoint-and-preserves-live-views	validated	facts|recover	wyst.storage.arena.keep-checkpoint
core.storage.Arena.rewind	ordinary-function	reclaim-transition	unchanged	exact-ledger-snapshot	consumes-or-recovers-checkpoint	validated	facts|recover	wyst.storage.arena.rewind-checkpoint
core.storage.arena_reset	ordinary-function	reset-transition	sanitize-preserve-or-zero	exact-full-backing	borrows-arena	advance-or-reject	facts|typed-failure	wyst.storage.arena.reset
core.storage.Arena.detach	ordinary-function	detach-transition	preserved	exact-full-backing	consumes-or-recovers-arena	advance-or-reject	fixed-buffer|recover	wyst.storage.arena.detach
core.storage.Arena.abandon_storage	ordinary-function	abandon-transition	unchanged	exact-full-backing	consumes-arena	current	abandoned	wyst.storage.arena.abandon-storage
