// kind	identity	member	import_policy	role	generic_arity	storage_contract	operation_contract	bundled_source	surface_digest	state
declaration	core.strconv	try_write_integer	whole|selective|public	ordinary-generic-function	1	-	wyst.strconv.try-write-integer	wync/core/strconv/integer.wyst	v1:3dea88a8b6c64b38c7b133819b8a5f4a7cb909931065c57c658bfb3c5836bb40	implemented
declaration	core.strconv	write_integer	whole|selective|public	ordinary-generic-function	1	-	wyst.strconv.write-integer	wync/core/strconv/integer.wyst	v1:2b32ba3d3bffcc366ae2a03bd5ba1f2bac01a4f32d55bade6ba530e69d3285e1	implemented
declaration	core.fmt	Prefix	whole|selective|public	ordinary-enum	0	wyst.fmt.prefix	-	wync/core/fmt/api.wyst	v1:0455e83d8266ee02436eb1b30908ddfeff18f659e15e7035806aa61f06f73a4a	implemented
declaration	core.fmt	CapacityFailure	whole|selective|public	ordinary-struct	0	wyst.fmt.capacity-failure	-	wync/core/fmt/api.wyst	v1:1c42f965c488eec4b55500fd4b052d73579bfbeb54800961f876616727e3854f	implemented
declaration	core.fmt	IntegerPadding	whole|selective|public	ordinary-enum	0	wyst.fmt.integer-padding	-	wync/core/fmt/api.wyst	v1:8fccbde3c931e842aa93fc3f7922e26717b4b536da6d35c7f18ed25e4fe83eb3	implemented
declaration	core.fmt	IntegerSpec	whole|selective|public	ordinary-struct	0	wyst.fmt.integer-spec	-	wync/core/fmt/api.wyst	v1:82e75951518556bef1eca3deee1d6f9829cc15251c0237f8e9e7f7d3a87a297b	implemented
declaration	core.fmt	DEFAULT_INTEGER_SPEC	whole|selective|public	ordinary-const	0	-	wyst.fmt.default-integer-spec	wync/core/fmt/api.wyst	v1:c0e637cca94d1e4a81b2d4b490af4fdfadb4731aab16b659f318dd6917e0284f	implemented
declaration	core.fmt	FormatCursor	whole|selective|public	opaque-struct	0	wyst.fmt.cursor	-	wync/core/fmt/api.wyst	v1:9e2f519a7756951db51f7454f54a868f715eda333e6a40d39145ad41c5603d37	implemented
declaration	core.fmt	FormatCheckpoint	whole|selective|public	opaque-struct	0	wyst.fmt.checkpoint	-	wync/core/fmt/api.wyst	v1:3f150656069c0093e7f13b933ed3b077ad08c448155eb7d7231d0cb2c9c1e28a	implemented
declaration	core.fmt	AsciiAppendFailure	whole|selective|public	ordinary-enum	0	wyst.fmt.ascii-append-failure	-	wync/core/fmt/api.wyst	v1:ef676c598cf211c9bdbd119814566a12621ab81f8e0b6cbb1b98a9c5c652dc71	implemented
declaration	core.fmt	RollbackFailure	whole|selective|public	ordinary-enum	0	wyst.fmt.rollback-failure	-	wync/core/fmt/api.wyst	v1:a8603e8b31f06765ae04729a04a29eb5c018ac6be2887bb688e5fa316b4eb6ff	implemented
declaration	core.fmt	FormatFailure	whole|selective|public	ordinary-enum	0	wyst.fmt.failure	-	wync/core/fmt/api.wyst	v1:ff41e13316a207f2ac4c674579d0eaeb0f5bcbae61d7ad0b50e3fee62dd1fe12	implemented
declaration	core.fmt	cursor	whole|selective|public	ordinary-function	0	-	wyst.fmt.cursor.attach	wync/core/fmt/buffer.wyst	v1:729303983b5380bc81a9281e70faec5f9892ae3dcf5c41d80f025abe9be7476e	implemented
declaration	core.fmt	cursor_written	whole|selective|public	ordinary-function	0	-	wyst.fmt.cursor.written	wync/core/fmt/buffer.wyst	v1:658dcfaea5f9b0d481b3aec5df2a140dd369f04907b49d42c1b91e7730be106a	implemented
declaration	core.fmt	cursor_remaining	whole|selective|public	ordinary-function	0	-	wyst.fmt.cursor.remaining	wync/core/fmt/buffer.wyst	v1:926db4ea66239b07b10a3f427084012760d9523d33d073393021449b5a256b56	implemented
declaration	core.fmt	cursor_written_bytes	whole|selective|public	ordinary-function	0	-	wyst.fmt.cursor.written-bytes	wync/core/fmt/buffer.wyst	v1:838b367d98c5ed4a182dbb24c1f326c46e55a15a2cb0848497f4f555b9f82e5e	implemented
declaration	core.fmt	cursor_written_string	whole|selective|public	ordinary-function	0	-	wyst.fmt.cursor.written-string	wync/core/fmt/buffer.wyst	v1:36c55c75856d87e40e5a2c0ffec58edd2c0c4d7a0afe2d2d8ac675b230595d4e	implemented
declaration	core.fmt	cursor_checkpoint	whole|selective|public	ordinary-function	0	-	wyst.fmt.cursor.checkpoint	wync/core/fmt/buffer.wyst	v1:dd9d2d0f23a50e8522e65d6701130b46281701fe2bf3ffaeeacc93d434704b85	implemented
declaration	core.fmt	cursor_rollback	whole|selective|public	ordinary-function	0	-	wyst.fmt.cursor.rollback	wync/core/fmt/buffer.wyst	v1:4f7ce6f0d2079f58638ebfe2390a075a3fea6698247d003621cb546ad114d9c7	implemented
declaration	core.fmt	cursor_append_ascii	whole|selective|public	ordinary-function	0	-	wyst.fmt.cursor.append-ascii	wync/core/fmt/buffer.wyst	v1:11fc836ff296e1dcdd9c4afef2b65bfc8b4e1cc2ccae5906e0a6825ef477a912	implemented
declaration	core.fmt	cursor_append_literal	whole|selective|public	ordinary-function	0	-	wyst.fmt.cursor.append-literal	wync/core/fmt/buffer.wyst	v1:a3dc0a874bb29462eaa33ddea1b42d9389983885648fd3a324f2354de43b7b7b	implemented
declaration	core.fmt	cursor_append_integer	whole|selective|public	ordinary-generic-function	1	-	wyst.fmt.cursor.append-integer	wync/core/fmt/integer.wyst	v1:f315eefb9c93c94afa7b4b75713fb5717dd81ab4c2e3596d258714b67b744962	implemented
declaration	core.fmt	write	whole|selective|public	ordinary-generic-function	1	-	wyst.fmt.write	wync/core/fmt/write.wyst	v1:cad64c252e3234df2c138986f43c19cf57a23402ab3732429ea56dab31b2a638	implemented
declaration	core.bytes	equal	whole|selective|public	ordinary-function	0	-	wyst.bytes.equal	wync/core/bytes/content.wyst	v1:d899599ae4290d661d0689d3126d9a6bf1951150f82bb74a8b751fa91d40756f	implemented
declaration	core.bytes	starts_with	whole|selective|public	ordinary-function	0	-	wyst.bytes.starts-with	wync/core/bytes/content.wyst	v1:21fd250a17543c8e980c2e0e172dcacbba84e6d644e1f40d8b33368e7b2e6edd	implemented
declaration	core.bytes	ends_with	whole|selective|public	ordinary-function	0	-	wyst.bytes.ends-with	wync/core/bytes/content.wyst	v1:4e1bd05bd4e88b230372fa1fddd11e38f63636c55a9d5fa607f173404a0315c3	implemented
declaration	core.bytes	find_byte	whole|selective|public	ordinary-function	0	-	wyst.bytes.find-byte	wync/core/bytes/content.wyst	v1:d9bcea5294537904e84a2b01c7730346c935364bc61741c2228a08176b323bc4	implemented
declaration	core.bytes	find	whole|selective|public	ordinary-function	0	-	wyst.bytes.find	wync/core/bytes/content.wyst	v1:7ca6989e88f619e6bdb25b5dd1645bb56ead874823085e457546fe0c3e5bbd32	implemented
declaration	core.text	Utf8FailureReason	whole|selective|public	ordinary-enum	0	wyst.text.utf8-failure-reason	-	wync/core/text/api.wyst	v1:d78920460a53347809476cdab29563c8f96e735125c80c117610039f41a50f2b	implemented
declaration	core.text	Utf8Failure	whole|selective|public	ordinary-struct	0	wyst.text.utf8-failure	-	wync/core/text/api.wyst	v1:6acacf512f681a13001432cb5cc98d8b514c81e70072196d2bddb0bd6b0299e0	implemented
declaration	core.text	TextSliceFailure	whole|selective|public	ordinary-enum	0	wyst.text.slice-failure	-	wync/core/text/api.wyst	v1:e09b7c05757300a5cd8936c5e66798428f7a22685e5185bba1a3cc9c64499702	implemented
declaration	core.text	from_bytes	whole|selective|public	ordinary-function	0	-	wyst.text.from-bytes	wync/core/text/utf8.wyst	v1:8cd90935e1773ec4a8488759c44f766149e408aa524c82b7f2be1120a4c7871e	implemented
declaration	core.text	equal	whole|selective|public	ordinary-function	0	-	wyst.text.equal	wync/core/text/content.wyst	v1:361106f73bdffd2577abdef145acaaa98e86bfd7a248d5067e35e93d0cd7ec88	implemented
declaration	core.text	starts_with	whole|selective|public	ordinary-function	0	-	wyst.text.starts-with	wync/core/text/content.wyst	v1:ab75b64d6c514c4c874f5e8e971b142d448069386befa72ea102acddc0cc7507	implemented
declaration	core.text	ends_with	whole|selective|public	ordinary-function	0	-	wyst.text.ends-with	wync/core/text/content.wyst	v1:911a2485746d0de76eda3bb2ef7c96510d940c2d0633516a981149667c8949d7	implemented
declaration	core.text	find	whole|selective|public	ordinary-function	0	-	wyst.text.find	wync/core/text/content.wyst	v1:0860c5128762d3a96d7a8cbcddcf9338f980b8ec3aaeb8d755c4362ba6916881	implemented
declaration	core.scan	ScanFailure	whole|selective|public	ordinary-enum	0	wyst.scan.failure	-	wync/core/scan/api.wyst	v1:d0f824dbcd698184170690b25c84b9c54eced0d6f7a7ebce42e1b758ea02ee72	implemented
declaration	core.scan	ScanCursor	whole|selective|public	opaque-struct	0	wyst.scan.cursor	-	wync/core/scan/api.wyst	v1:de4c99e07abf48dc56a0f2abd5fc4d22d6f05e3aed1d6895613c8cb1561e072e	implemented
declaration	core.scan	integer	whole|selective|public	ordinary-generic-function	1	-	wyst.scan.integer	wync/core/scan/integer.wyst	v1:469d6cdd54b64c1324ad7eadddb302b8f0e0161fb53552f8d8ff4fce101f043f	implemented
declaration	core.scan	boolean	whole|selective|public	ordinary-function	0	-	wyst.scan.boolean	wync/core/scan/integer.wyst	v1:2893ed593c13285ba16468a5d5f03ee50c46e8466205323c1a40f4af51241934	implemented
declaration	core.scan	ScanCursor.open	whole|selective|public	ordinary-function	0	-	wyst.scan.cursor.open	wync/core/scan/cursor.wyst	v1:5fd749202a7f3dc7ad7816867f5f5651f2de756d7cd36cc48bfd37766dac0081	implemented
declaration	core.scan	ScanCursor.offset	whole|selective|public	ordinary-function	0	-	wyst.scan.cursor.offset	wync/core/scan/cursor.wyst	v1:2eeaa472322146f3e91bbeed978d389ebda583272c9615c685eed9eaaab6fc9e	implemented
declaration	core.scan	ScanCursor.remaining	whole|selective|public	ordinary-function	0	-	wyst.scan.cursor.remaining	wync/core/scan/cursor.wyst	v1:8e85c72b7abd22ed31727d1e190119e8ce9730593fb43d95ea5a74c251ec85ac	implemented
declaration	core.scan	ScanCursor.expect	whole|selective|public	ordinary-function	0	-	wyst.scan.cursor.expect	wync/core/scan/cursor.wyst	v1:fde40ead811a41af1d894510028760f913e6e194fe559cec69e5e28f705c2750	implemented
declaration	core.scan	ScanCursor.integer	whole|selective|public	ordinary-generic-function	1	-	wyst.scan.cursor.integer	wync/core/scan/cursor.wyst	v1:9b40627d9f67fc0d4ebc447b3518b4c043a75de48166656cba13ebfc2de9f817	implemented
declaration	core.scan	ScanCursor.boolean	whole|selective|public	ordinary-function	0	-	wyst.scan.cursor.boolean	wync/core/scan/cursor.wyst	v1:04b8fcc724a0c9c54099762177cd398a70e43568beb684ef5cc106767c61b366	implemented
declaration	core.scan	ScanCursor.take_until	whole|selective|public	ordinary-function	0	-	wyst.scan.cursor.take-until	wync/core/scan/cursor.wyst	v1:da0775f955f7fe6f4abcc0ca91aaffa6babc454ec4673456071f55de44ff8d4f	implemented
declaration	core.scan	ScanCursor.finish	whole|selective|public	ordinary-function	0	-	wyst.scan.cursor.finish	wync/core/scan/cursor.wyst	v1:86f3e87bb8d09a41f9e714d8da06882a23716ed5320fa725998ba9297f89b50c	implemented
declaration	core.scan	read	whole|selective|public	compiler-materialized-generic-function	1	-	wyst.scan.read	wync/core/scan/read.wyst	v1:e1ff050ca3a13571861d71af17a7636af9dead360bbb5055507a9c90606c0707	implemented
declaration	core.outcomes	CausalId	whole|selective|public	ordinary-struct	0	wyst.causal-id	-	wync/core/outcomes.wyst	v1:fa8c18e7e2fb2f64c463437c4ab1d76ba1d65f40639acc1cf4e4630edf0b8492	implemented
declaration	core.outcomes	CausalIdentity	whole|selective|public	opaque-nominal-carrier	0	wyst.causal-identity	-	wync/core/outcomes.wyst	v1:2202443a0912f844d96429bfd40871e5ebf28f803e172f70dd3b6fc0b99d0bc4	implemented
declaration	core.outcomes	causal_identity	whole|selective|public	ordinary-function	0	-	wyst.causal-identity.construct	wync/core/outcomes.wyst	v1:88cd107bbcee8712dae904f0399ced557281b573420fe10fd09376b945fde4d9	implemented
declaration	core.outcomes	causal_identity_value	whole|selective|public	ordinary-function	0	-	wyst.causal-identity.project	wync/core/outcomes.wyst	v1:8aca6838f96d97e52ce7a77e1be7b650f92efda7606113302104705c97234fb2	implemented
declaration	core.outcomes	CausalOrdinal	whole|selective|public	numeric-nominal-carrier	0	wyst.causal-ordinal	-	wync/core/outcomes.wyst	v1:8cce4531947bc957abc8319dd14403f537a6d6c215c9aefd7d06898bde48a0e0	implemented
declaration	core.outcomes	CausalStage	whole|selective|public	ordinary-enum	0	wyst.causal-stage	-	wync/core/outcomes.wyst	v1:fb1f46a4c308782c15e76d602f6fc1f7d6307fbe40274a72ef7942159de56664	implemented
declaration	core.outcomes	CausalRecord	whole|selective|public	ordinary-struct	0	wyst.causal-record	-	wync/core/outcomes.wyst	v1:14239275167f2751942608fd8656eca39010e761f5223312074a27820746d0e8	implemented
declaration	core.outcomes	CausalEvent	whole|selective|public	ordinary-generic-struct	1	wyst.causal-event	-	wync/core/outcomes.wyst	v1:a19daedc12d2d2739c1297fc7cf29c7a0f967c59daafb557d41d2fdacfa49a2f	implemented
declaration	core.outcomes	TerminalOutcome	whole|selective|public	ordinary-generic-enum	3	wyst.terminal-outcome	-	wync/core/outcomes.wyst	v1:0faa0decde2d6ff5491805b55ac01e2dc9f1b520c4965526ee92d4e9675d850c	implemented
declaration	core.outcomes	AggregationPolicy	whole|selective|public	ordinary-enum	0	wyst.aggregation-policy	-	wync/core/outcomes.wyst	v1:29737e86c598a8a66ac9914dd46b052fee6ab3cd62f79c93d38b3767e6edc42d	implemented
declaration	core.outcomes	AggregationCount	whole|selective|public	ordinary-struct	0	wyst.aggregation-count	-	wync/core/outcomes.wyst	v1:93a34c18b9cad570c7fc210bead0f60c2f405e0a9266573be8f494d8af077493	implemented
declaration	core.outcomes	AggregationTruncation	whole|selective|public	ordinary-struct	0	wyst.aggregation-truncation	-	wync/core/outcomes.wyst	v1:10f034bea41d49efa6ea5252affa849218328cfc9bd6e90c592d4953a1f5e4be	implemented
declaration	core.outcomes	AggregationSummary	whole|selective|public	ordinary-enum	0	wyst.aggregation-summary	-	wync/core/outcomes.wyst	v1:471a684a8b7b09e693e39262aee137203782b8d3ab20ddf471659b31f1c1fde9	implemented
declaration	core.outcomes	CausalKey	whole|selective|public	ordinary-struct	0	wyst.causal-key	-	wync/core/outcomes.wyst	v1:9007a22e24cbdbcda596ec31eef165096311a7e732f4c5114a96df94d0250401	implemented
declaration	core.outcomes	StorageRangeFailure	whole|selective|public	ordinary-struct	0	wyst.storage-range-failure	-	wync/core/outcomes.wyst	v1:3738c085bb9559a5c524dd31edb280f6daf4ad3b6fa074db907f0d28aabd79d4	implemented
declaration	core.outcomes	StorageAddress	whole|selective|public	nominal-carrier	0	wyst.storage-address	-	wync/core/outcomes.wyst	v1:dc3649ee539cf309919bd76083ce2b809dfdc1b10d92498d4079cc854b8d98ab	implemented
declaration	core.outcomes	StorageLimitFailure	whole|selective|public	ordinary-struct	0	wyst.storage-limit-failure	-	wync/core/outcomes.wyst	v1:6085a56c50c9a1904590d75ce1c825441263bf9c9ea2ac263e6fb5cf93badfaa	implemented
declaration	core.outcomes	WorkUnits	whole|selective|public	numeric-nominal-carrier	0	wyst.work-units	-	wync/core/outcomes.wyst	v1:32a457261e6f6ca4f01514c3d98c731cbd68f864124b5de19a0ed8d42b01b176	implemented
declaration	core.outcomes	WorkLimitFailure	whole|selective|public	ordinary-struct	0	wyst.work-limit-failure	-	wync/core/outcomes.wyst	v1:d00457062223a29019118191fd843ec01483bbbae412cac7c06740f8b839b255	implemented
declaration	core.outcomes	AggregationError	whole|selective|public	ordinary-enum	0	wyst.aggregation-error	-	wync/core/outcomes.wyst	v1:f0c1f5bac7bdedf75d91a817f9d378def7295416257f11fe0ca4fb428faad64d	implemented
declaration	core.outcomes	aggregate_failures	whole|selective|public	ordinary-generic-function	1	-	wyst.failure-aggregation	wync/core/outcomes.wyst	v1:d59ccbdd47ae67aed5b6f3f22bd609a63e6d5c15027949596a64a834858bb53c	implemented
declaration	core.quantities	ByteLength	whole|selective|public	numeric-nominal-carrier	0	wyst.byte-length	-	wync/core/quantities.wyst	v1:8f953dcac5937507e4e445bc6d6ab7ae2effaef4e8808b942f800aba5575e9e9	implemented
declaration	core.quantities	Frequency	whole|selective|public	numeric-nominal-carrier	0	wyst.frequency	-	wync/core/quantities.wyst	v1:b4843cb0336066169be413cec604d91774361ac9054887154f755e416ed3eeee	implemented
declaration	core.quantities	ElementLength	whole|selective|public	numeric-nominal-carrier	0	wyst.element-length	-	wync/core/quantities.wyst	v1:ccc71d1fc1686d304d9672f6c51d813b9aa82a2346b1feaf1581ae5c9d59a9dd	implemented
declaration	core.quantities	ElementCapacity	whole|selective|public	numeric-nominal-carrier	0	wyst.element-capacity	-	wync/core/quantities.wyst	v1:ac05ae43add84cf658a607d1fef958c8b86d6ffbeeac11961d86bc8c72600f2f	implemented
declaration	core.quantities	ElementIndex	whole|selective|public	nominal-carrier	0	wyst.element-index	-	wync/core/quantities.wyst	v1:b2304dcc3f48a9fa5fc7d107e70b42762b361f726a219a6b68667db35c0f5e9f	implemented
declaration	core.quantities	ElementBoundary	whole|selective|public	nominal-carrier	0	wyst.element-boundary	-	wync/core/quantities.wyst	v1:e2f6a67b4bea414cb4fd8ae570333f8ebdbf6ba608a8a4d10b102d55b081a5f6	implemented
declaration	core.quantities	ByteOffset	whole|selective|public	numeric-nominal-carrier	0	wyst.byte-offset	-	wync/core/quantities.wyst	v1:eafafde1853ea9c6bec330a4663e99e4347b3f8973851274445bb7a26c0c753a	implemented
declaration	core.quantities	ElementOffset	whole|selective|public	numeric-nominal-carrier	0	wyst.element-offset	-	wync/core/quantities.wyst	v1:406e55462cbea914def6e7956ecf81f601ca54739020cc0ab485681b466533d6	implemented
declaration	core.quantities	Alignment	whole|selective|public	opaque-struct	0	wyst.alignment	-	wync/core/quantities.wyst	v1:ac3f832753cacd0a62b00de7682e52818e64427c727a6099b4b22c896a7e0102	implemented
declaration	core.quantities	PhysicalAddress	whole|selective|public	nominal-carrier	0	wyst.physical-address	-	wync/core/quantities.wyst	v1:801d8e18376f5711121d4ee2012c6ee4aa81e883ec54178610f1283e41202608	implemented
declaration	core.quantities	CounterSample	whole|selective|public	nominal-carrier	0	wyst.counter-sample	-	wync/core/quantities.wyst	v1:588c8fdcc8777339400e11d17e9627f12dc731ee2e11020646c1511aadc3d540	implemented
declaration	core.quantities	TickDuration	whole|selective|public	numeric-nominal-carrier	0	wyst.tick-duration	-	wync/core/quantities.wyst	v1:fbbc3412ba21183c0938f43a2295ed694c725cde64699b8c7498d09b6d3ffbad	implemented
declaration	core.quantities	LogicalCpuId	whole|selective|public	nominal-carrier	0	wyst.logical-cpu-id	-	wync/core/quantities.wyst	v1:a891f6022867bd15b11152568b6a8df1ad51a01596658d95da299970ae030233	implemented
declaration	core.quantities	Generation	whole|selective|public	nominal-carrier	0	wyst.generation	-	wync/core/quantities.wyst	v1:6876e5932872216eb1785b67bb08ccd75af4cc413b85137ed5072c910f150df7	implemented
declaration	core.quantities	ByteRange	whole|selective|public	opaque-struct	0	wyst.byte-range	-	wync/core/quantities.wyst	v1:009638328e19e59184e390db0e3cd36ee8e792b4aab609eb73915f9034cd5b63	implemented
declaration	core.quantities	ElementRange	whole|selective|public	opaque-struct	0	wyst.element-range	-	wync/core/quantities.wyst	v1:d24496af3fd716f13742c393d7bb5ffdb15fbbc6d7eb7240394f9880d0b772ee	implemented
declaration	core.quantities	ByteExtent	whole|selective|public	opaque-generic-struct	1	wyst.byte-extent	-	wync/core/quantities.wyst	v1:b6414ef269b48195034f33ec6897bf1a37c7caf33b6b65160b74f011ea7144c1	implemented
declaration	core.quantities	ElementExtent	whole|selective|public	opaque-generic-struct	1	wyst.element-extent	-	wync/core/quantities.wyst	v1:9aa2233ac6762772725a535a63cc69269ca55ab8d5cba2e2ae0cf765c300886a	implemented
declaration	core.quantities	PhysicalExtent	whole|selective|public	opaque-struct	0	wyst.physical-extent	-	wync/core/quantities.wyst	v1:a5036ce1be2e3fbd8b70762ac041f01aff95d30cd6b757280e293370921db770	implemented
declaration	core.quantities	alignment_bytes	whole|selective|public	ordinary-function	0	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:0b64aaa7b900af3fabb897779f4393ba1da4e7be2440d5c0061ef94a86ecf898	implemented
declaration	core.quantities	byte_range_lower	whole|selective|public	ordinary-function	0	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:239e04c88ff4c66c646b16d6c12058055b2a81abc01d8ef7cab25a99c6288ed3	implemented
declaration	core.quantities	byte_range_upper	whole|selective|public	ordinary-function	0	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:d7482d65e37d1aeab0b0fe7ed24389440d93dc6536eae087a3491aaa3074bba6	implemented
declaration	core.quantities	element_range_lower	whole|selective|public	ordinary-function	0	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:448150e68e22b1bd6d53026920e29d072aa5d7eb7dc8bb44b86156f63e8a2fc8	implemented
declaration	core.quantities	element_range_upper	whole|selective|public	ordinary-function	0	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:7b897153e2baf3e1b10513466e7c4e4ed76db49204ec1e44c0b509aa3a0f4280	implemented
declaration	core.quantities	byte_extent_base	whole|selective|public	ordinary-generic-function	1	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:98effba1e2f3dc41792a259e207168e7c42fbfe247b931fcfd0a48934e2746b3	implemented
declaration	core.quantities	byte_extent_length	whole|selective|public	ordinary-generic-function	1	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:e71d79d20afb27cc26448737030e5f6ce90923beb9b7d8f08c56b80b5866bb70	implemented
declaration	core.quantities	element_extent_base	whole|selective|public	ordinary-generic-function	1	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:f566352330fdb0be106c6e89dfee4165d7637f0c591b1502a45370cf5ebe44f9	implemented
declaration	core.quantities	element_extent_length	whole|selective|public	ordinary-generic-function	1	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:af7c2c86143434449f7e3ac4f57a8d5def19623b108f9bdcaac760e3a80a8b87	implemented
declaration	core.quantities	physical_extent_base	whole|selective|public	ordinary-function	0	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:dd5c1074357fd91a13580eb35703a3435fd79637e645c96c27e8820dd07effb0	implemented
declaration	core.quantities	physical_extent_length	whole|selective|public	ordinary-function	0	-	wyst.quantity.projections	wync/core/quantities.wyst	v1:693c2813e3ebd6efd8bd6f429ac0607ec92876a1d3855661c3b2fdae6993d006	implemented
declaration	core.checked	IndexFailure	whole-private-direct	ordinary-struct	0	wyst.checked.index-failure	-	wync/core/checked.wyst	v1:c44b7142ea22e8691a00c28ff675104c6f16ea7a0f2905c2e97bcc150ba48834	implemented
declaration	core.checked	RangeFailure	whole-private-direct	ordinary-struct	0	wyst.checked.range-failure	-	wync/core/checked.wyst	v1:5deadb40fef4ffaa944f11303e8b398939dbf1980f65c238b25148e4868f0469	implemented
declaration	core.checked	SliceFailure	whole-private-direct	ordinary-struct	0	wyst.checked.slice-failure	-	wync/core/checked.wyst	v1:27603f654d667c829e41fdcf56e3e3a69821cef0b88a9c1888ae38cad48e23df	implemented
declaration	core.checked	ExactPlaceFailure	whole-private-direct	ordinary-enum	0	wyst.checked.exact-place-failure	-	wync/core/checked.wyst	v1:39afff42de3b10e407a51842941a846cba709c94762a9cedb29dbb60b581850c	implemented
declaration	core.checked	ExactPlace	whole-private-direct	opaque-generic-struct	1	wyst.checked.exact-place	-	wync/core/checked.wyst	v1:71a61eb4c8dce19a1f5d6c861767ba75cfe598848fba53d5b8dc62cca229490b	implemented
declaration	core.checked	element	whole-private-direct	ordinary-generic-function	1	-	wyst.checked.source-element	wync/core/checked.wyst	v1:6364b5ee7a94f54cc36b30a2f2c2cd15992ec368a1640d181347c94363612f16	implemented
declaration	core.checked	subslice	whole-private-direct	ordinary-generic-function	1	-	wyst.checked.source-subslice	wync/core/checked.wyst	v1:0cfa619668f57de8a7afe65aa2d4ea103fa2bba1caeb361ee2c1a4f1a187866d	implemented
declaration	core.checked	exact_place	whole-private-direct	ordinary-generic-function	1	-	wyst.checked.exact-place.validate	wync/core/checked.wyst	v1:8f6d2e3142e20c917a62ced02599cb5c3817cece73224ef46bd4f2fcda83a82a	implemented
declaration	core.checked	exact_place_initialize	whole-private-direct	ordinary-generic-function	1	-	wyst.checked.exact-place-initialize	wync/core/checked.wyst	v1:f55195d8f5f42875357f4ad529e009d034cbd325c7111c2b4b09431534fbbce4	implemented
declaration	core.checked	NumericConversionFailure	whole-private-direct	ordinary-struct	0	wyst.checked.numeric-failure	-	wync/core/checked.wyst	v1:7642be7baf1fd6d870822a79e00b83c3b877fd5579429ee49edb40593887a09b	implemented
